cnameshort,year,pfirstname,psurname,gpv,hp,ceo
Adidas,2022,Kasper,Rorsted,"2,275",1.2,1
Allianz,2022,Oliver,Bäte,"7,377",1.0,1
BASF,2022,Martin,Brudermüller,"6,571",1.0,1
Bayer,2022,Werner,Baumann,"6,541",1.0,1
Beiersdorf,2022,Vincent ,Warnery,"4,614",1.0,1
BMW,2022,Oliver,Zipse,"7,916",1.0,1
Brenntag,2022,Christian,Kohlpaintner ,"4,338",1.0,1
Commerzbank,2022,Manfred,Knof,"3,544",1.0,1
Continental,2022,Nikolai,Setzer,"4,319",1.0,1
Covestro,2022,Markus,Steilemann,"2,893",1.0,1
Daimler Truck,2022,Martin,Daum,"5,239",1.0,1
Deutsche Bank,2022,Christian,Sewing,"9,150",1.0,1
Deutsche Börse,2022,Theodor,Weimer,"6,014",1.0,1
Deutsche Post,2022,Frank,Appel,"6,008",1.0,1
Deutsche Telekom,2022,Timotheus,Höttges,"7,339",1.0,1
E.ON,2022,Leonhard,Birnbaum,"6,796",1.0,1
Airbus,2022,Guillaume,Faury,"5,045",1.0,1
Fresenius,2022,Michael,Sen,"3,882",1.0,1
Hannover Rück,2022,Jean-Jacques,Henchoz,"2,751",1.0,1
Heidelberg Cement,2022,Dominik,von Achten,"6,137",1.0,1
Henkel,2022,Carsten,Knobel,"6,394",1.0,1
Infineon,2022,Reinhard,Ploss,"4,256",2.0,1
Infineon,2022,Jochen,Hanebeck,"3,784",1.0,1
Mercedes-Benz,2022,Ola,Källenius,"6,430",1.0,1
Merck,2022,Belén,Garijo Lopez,"8,281",1.0,1
MTU,2022,Reiner,Winkler,"3,835",1.0,1
Munich RE,2022,Joachim,Wenning,"5,038",1.0,1
Porsche,2022,Oliver,Blume,530,1.0,1
Porsche Automobil Holding,2022,Hans Dieter,Pötsch,"1,875",1.0,1
Qiagen,2022,Thierry,Bernard,"7,198",1.0,1
Rheinmetall,2022,Armin,Papperger,"4,177",1.0,1
RWE,2022,Markus,Krebber,"5,479",1.0,1
SAP,2022,Christian,Klein,"7,776",1.0,1
Sartorius,2022,Joachim,Kreuzburg,"2,108",1.0,1
Siemens,2022,Roland,Busch,"7,314",1.0,1
Siemens Energy,2022,Christian,Bruch,"4,944",1.0,1
Siemens Healthineers,2022,Bernhard,Montag,"4,896",1.0,1
Symrise,2022,Heinz-Jürgen,Bertram,"2,796",1.0,1
