cnameshort,year,cpersonnelexpenses,cnremployees,personalaufwand,cInformation,
Adidas,2024,"3,184,000","62,035",51,Sportbekleidung und Schuhe,
Airbus,2024,"17,867,000","156,921",114,Flugzeugherstellung,
Allianz,2024,"15,492,000","156,626",99,Erbringung von Finanz- und Versicherungsdienstleistungen,
BASF,2024,"11,241,000","111,822",101,Herstellung von Chemie-Produkten,
Bayer,2024,"12,451,000","92,815",134,Chemisch-pharmazeutisch,
Beiersdorf,2024,"1,894,000","22,791",83,Herstellung von Hautpflegeprodukten,
BMW,2024,"15,122,000","159,104",95,Automobil,
Brenntag,2024,"1,446,400","18,122",80,Chemiedistributeur,
Commerzbank,2024,"3,611,000","39,040",92,Erbringung von Finanz- und Versicherungsdienstleistungen,
Continental,2024,"11,219,000","190,159",59,Autoteilehersteller,
Daimler Truck,2024,"8,227,000","109,041",75,Automobil,
Deutsche Bank,2024,"11,731,000","89,753",131,Erbringung von Finanz- und Versicherungsdienstleistungen,
Deutsche Börse,2024,"415,100","2,929",142,"Organisieren und betreiben regulierte Märkte für Wertpapiere, Derivate, Rohstoffe, Währungen und andere Anlageklassen",
Deutsche Post,2024,"28,305,000","559,051",51,Logistikdientleistungen,
Deutsche Telekom,2024,"19,004,000","200,227",95,Telekommunikation,
E.ON,2024,"6,534,000","76,566",85,Energieversorgung,
Fresenius,2024,"9,586,000","176,486",54,Chemisch-pharmazeutisch,
Fresenius Medical Care,2024,"7,788,818","111,513",70,Medizintechnik und Gesundheitsdienstleistungen,
Hannover Rück,2024,"497,400","3,895",128,Rückversicherungsgesellschaft,
Heidelberg Materials,2024,"3,469,500","50,692",68,Herstellung und den Vertrieb von Zement und Zuschlagstoffen,
Henkel,2024,"3,960,000","47,150",84,Chemisch-pharmazeutisch,
Infineon,2024,"4,612,000","58,065",79,Konsumgüter und Industrieprodukte,
Mercedes-Benz,2024,"17,301,000","175,264",99,Automobil,
Merck,2024,"6,695,000","62,557",107,Pharma-und Chemieunternehmen,
MTU,2024,"1,154,000","12,892",90,Flugzeugtriebwerke,
Munich RE,2024,"4,888,000","43,584",112,Rückversicherungsgesellschaft,
Porsche AG,2024,"5,138,000","42,615",121,Automobil,
Porsche SE,2024,"17,000",48,354,Beteiligungsgesellschaft,
Qiagen,2024,"568,668","5,765",99,Molekulardiagnostik,
Rheinmetall,2024,"2,373,000","29,322",81,Verteidigungs- und Automobilzulieferer,
RWE,2024,"2,961,000","20,985",141,Energieversorgung,
SAP,2024,"20,278,000","109,121",186,Softwarelösungen,
Sartorius,2024,"1,209,100","13,528",89,Labortechnologie,
Siemens,2024,"30,766,000","327,000",94,Maschinenbau,
Siemens Energy,2024,"9,680,000","98,000",99,Energie und Technologie,
Siemens Healthineers,2024,"7,895,000","72,000",110,Medizintechnik,
Symrise,2024,"1,011,256","12,718",80,Aromen und Duftstoffe,
Volkswagen,2024,"49,786,000","646,501",77,Automobil,
Vonovia,2024,"899,600","12,056",75,Grundstücks- und Wohnungswesen,
Zalando,2024,"1,063,400","15,309",69,Online-Modehandel,
Adidas,2023,2964000,59030,50.21,Sportbekleidung und Schuhe,
Airbus,2023,15379000,147893,103.99,Flugzeugherstellung,
Allianz,2023,14744000,157883,93.39,Erbringung von Finanz- und Versicherungsdienstleistungen,
BASF,2023,10950000,111991,97.78,Herstellung von Chemie-Produkten,
Bayer,2023,10691000,99723,107.21,Chemisch-pharmazeutisch,
Beiersdorf,2023,1788000,21958,81.43,Herstellung von Hautpflegeprodukten,
BMW,2023,14721000,154950,95,Automobil,
Brenntag,2023,1391900,17709,79,Chemiedistributeur,
Commerzbank,2023,3562000,38565,92,Erbringung von Finanz- und Versicherungsdienstleistungen,
Continental,2023,11395200,202763,56,Autoteilehersteller,
Covestro,2023,2141000,17520,122,Herstellung von Hightech-Polymerwerkstoffen,
Daimler Truck,2023,8154000,109933,74,Automobil,
